ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;01;10884;"IOG GREGO ZR ITAMBE 100G MGO";234.21;0;0;158.91;158.91
2022;01;6902;"MARIA MOLE OETKER COCO 50G";107.76;27.61;0;40.51;40.51
2022;01;18456;"MASC MARY SAYAO TECIDO DUP LAVAVEL BCA";30;7.68;0;14.16;14.16
2022;01;9412;"AMPOLA V SEIVA DUOV CAV REAL 2X10ML CRESCE FORTE";13.9;0;0;8.57;8.57
2022;01;24566;"HAV SLIM MARINHO 35";174.5;44.64;0;62.11;62.11
2022;01;15348;"COND NEUTROX 500ML CLASSICO";516;0;0;370.14;370.14
2022;01;1710;"BISNAGA PLASUTIL TRANSP 280ML";198;18.32;0;65.04;70.5
2022;01;19277;"PAPEL BALA REGINA 48UN BCO";19.9;5.11;0;6.63;6.63
2022;01;18255;"AGUA OXIGENADA FARMAX 10V SP 100ML";11.94;0;0;9.1;9.1
2022;01;3374;"ESCOVA LIMPA MAM MULTIKIDS AZUL";259.51;66.38;0;95.87;113.55
2022;01;7055;"SAB DAVENE BEBE VIDA 90G";191.04;0;0;123.59;123.59
2022;01;11873;"PIPOCA BIG CHOCO 40G";8;1.36;0;1.78;1.88
2022;01;24355;"FERTILIZ DIMY MINERAL 120ML 04 14 08";209.3;37.66;0;76.74;76.74
2022;01;9552;"ABOBORA DAGUA KG";553.38;0;0;163.47;163.6
2022;01;20022;"LAMPADA LED KIAN TUBE 9W 6.5K";56.7;5.24;0;26.04;27.86
2022;01;1802;"AROMAT APAR BOM AR 250ML AP RF LAV";650.81;117.17;0;323.87;323.97
2022;01;14229;"COND NEUTROX 300ML XTREME";8.9;0;0;7.02;7.02
2022;01;17673;"MIST BOLO COPRA FAR COCO 300G CHOC";125.55;11.61;0;72.28;79.2
2022;01;18338;"MUSSARELA SADIA 200G";1302.16;0;0;874.39;876.48
2022;01;24707;"BISC C CRACKER MARILAN 350G MANT";2381.36;220.28;0;1397.7;1536.05
2022;01;21278;"FORRA FOGAO BRICOFLEX 27X27CM 12UN";117.3;29.99;0;45.99;50.88
2022;01;1398;"PIZZA BIG CALABRESA BACON PD UN";22874.46;1923.98;0;6086.95;6236.65
2022;01;4800;"PIZZA BIG FGO SUPREMO MD";195.6;16.44;0;53.22;53.48
2022;01;17542;"PICOLE KIBON FRUTILLY MGO 40G";150.5;13.92;0;100.68;100.68
2022;01;20113;"FRIGID ROCHEDO SMART FUNDA 24 CM";218.9;56;0;95.28;99.21
2022;01;1281;"ESCOVA D ORAL B P SAUDE ULTRAF L2P1";1883.7;0;0;1332.16;1332.16
2022;01;5508;"PIZZA BIG ROMANESCA PD UN";5993.94;502.55;0;1712.65;1755.64
2022;01;21864;"LIMP PISO CAFUNE 900ML FLORES";47.6;4.4;0;27.91;30.35
2022;01;22478;"PAO INT FORMA PULLMAN 480G";1396.73;129.2;0;918.5;918.5
2022;01;1306;"PANHOCA BIG KG";67.64;10.54;0;7.75;7.76
2022;01;1344;"ENXAG ZR LISTERINE ANTICARIES 500ML";1738.26;0;0;1179.38;1179.38
2022;01;3520;"ACAI BIG TRAD 500ML";3389.3;609.71;0;659.72;659.72
2022;01;19406;"SAB PROTEX 200G ERVA DOCE";609.96;0;0;457.41;457.41
2022;01;797;"PANETTONE BIG MINI 100G";52.5;8.8;0;14.46;15.21
2022;01;10263;"QUEIJO M PADRAO P ALEGRE KG";4498.06;0;0;3144.01;3144.01
2022;01;15960;"AMAC C COMFORT 1L ORIG";1147.63;106.16;0;633.76;724.77
2022;01;15830;"CASTANHA TORRADA BARU KG";63.18;5.84;0;26.5;27.56
2022;01;18241;"PAO QJO F MINAS 1KG ED ESP";68.94;6.38;0;43.42;43.42
2022;01;20886;"CHOCOTTONE BAUDUCCO MAXI 500G BCO";4363.34;403.61;750.79;3128.38;4176.31
2022;01;24140;"ARROZ CARNAROLI REI ARTHUR 1KG";207.9;14.52;0;125.42;125.42
2022;01;15215;"CHOCOTTONE BAUDUCCO MAXI 500G MOUSSE";1043.32;96.51;93.28;756.95;926.66
2022;01;6585;"FRALDA PAMPERS CONFORTSEC XXG16";319.2;29.53;0;207.56;207.56
2022;01;10184;"MAC S GL AMALIA 500G SPAG";1433.71;0;0;979.62;979.62
2022;01;7538;"CHA BARAO 10G CAMOM GENG MEL";64.35;5.95;0;37.76;41.06
2022;01;6395;"VH CHI C DIABLO 750ML TT C SAUV";608.52;56.29;0;391.31;420.56
2022;01;23990;"COND SIAGE 200ML NUTRI DIAMOND";295.2;0;0;196.16;196.16
2022;01;20064;"PAO QJO F MINAS 200G WAFFLE";129.6;11.99;0;79.7;79.7
2022;01;18205;"ESCORREDOR PRATO ARTHI FAN P COPO";605;154.79;0;254.52;259.02
2022;01;15342;"COND DOVE 400ML RECONS COMP";479.6;0;0;336.12;336.12
2022;01;18362;"PALMITO ORG INT SALADA AMAZ 300G";596.85;55.21;0;380.13;406.64
2022;01;10705;"IOG NAT VIGOR 3 GRAOS 100G MAM";39.46;0;0;25.74;25.74
2022;01;18019;"RACAO CAO BAWWAW NAT P 1KG CNE ARR";824.4;76.26;0;460.8;506.72
2022;01;3582;"BISC S GL CRACKER SCHAR 210G";210.08;19.43;0;136.46;150.36
2022;01;5183;"MAC OVOS AMALIA 500G TAGLIARINI";1772.4;0;0;1137.11;1137.11
2022;01;19237;"MEIO ASA SADIA BIO IQF 1KG";314.1;0;0;201.73;201.73
2022;01;2910;"TINTA AERO TEK BOND 350ML PTO BRILHANTE";185.9;17.2;0;110.73;119.15
2022;01;3735;"MIX FRUTAS DESIDR GRANEL KG";799.91;143.93;0;301.79;301.79
2022;01;21565;"SAB LIQ DOVE ANTIBAC 200ML RF CUIDA PROT";89.94;8.32;0;47.58;52.43
2022;01;11078;"MOLHO BOLONHESA HEINZ 340G";314.42;29.08;0;175.65;175.65
2022;01;5842;"QUEIJO GRANA RAR 12M FRAC KG";1380.33;0;0;939.34;939.34
2022;01;25185;"LENCOS DEMAQ TOPZ 25UN COLAG";142.77;0;0;87.49;87.49
2022;01;7445;"BEB LAC ITAMBE PRO 200ML CHOCO";1835.9;169.82;0;1180.28;1180.28
2022;01;1512;"ANCINHO TRAMONTINA CABO MADEIRA";63.6;5.88;0;31.36;34.55
2022;01;8916;"FARINHA BAN VDE T SONIA 150G";125.3;22.54;0;55.97;55.98
2022;01;25187;"LENCOS UMEDEC TOPZ INTIMO 16UN";230.34;0;0;140.06;145.7
2022;01;5664;"QUEIJO BUF MOZZ B DEST CEREJ 160G";938.7;0;0;627.48;627.48
2022;01;2544;"COLA TEK BOND PREG FACIL 140G";239;61.13;0;116.64;116.64
2022;01;24084;"CALDO KNORR 57G FEIJAO BRASIL";148.67;38.19;0;68.78;71.62
2022;01;21534;"BEB VEG ADES SEEDS 1L COCO";206.4;19.09;0;132.6;132.6
2022;01;17144;"FUMACA PO BIG 40G";115.42;29.62;0;20.96;21.6
2022;01;19065;"CERV BRA HAUSMALTE JUICE HOPS 600ML";825.61;0;0;638;638
2022;01;10302;"IOG KEFIR ZR APRECIARE 900G NAT";792.98;0;0;543.79;543.61
2022;01;9648;"FARINHA AVEIA S GL VITALIN 200G";43.6;11.15;0;18.84;19.61
