ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;12;26623;"IOG LIQ VIGOR 800G MGO";279.72;0;0;192.35;192.35
2022;12;4929;"BATATA MAGU S ONDA 40G CEB SALSA";4019.64;371.82;0;2397.81;2397.81
2022;12;19911;"CHOC TRENTO 32G MOUSSE MARAC";1415.2;130.91;0;716.59;717.36
2022;12;17293;"NECTAR MAGUARY 1L UVA";1268.01;117.29;0;754.32;754.4
2022;12;6056;"PASTILHA DORI DISQUETI 40G CHOCO";2212.47;204.65;0;1212.35;1212.35
2022;12;9823;"ALFACE ROXA UN";9838.49;0;0;3799.92;3802.33
2022;12;10704;"MUSSARELA P ALEGRE KG";13826.66;0;0;7897.1;7897.1
2022;12;9697;"CHICLETES MENTOS 3 8.5G FRESH MINT";1966.62;500.61;236.25;560.51;800.05
2022;12;6062;"PASTILHA DORI CHOCO DISQUETI 80G";351.56;32.52;0;175.75;175.75
2022;12;5942;"NECTAR TIAL 1L ABAC";3463.97;320.42;0;2267.12;2267.13
2022;12;19406;"SAB PROTEX 200G ERVA DOCE";766.08;0;0;558.52;558.48
2022;12;9375;"VASSOURA PIAC BETTANIN CASA";926.9;237.09;0;337.32;337.57
2022;12;4504;"DESOD AERO F REXONA 150ML INVISIBLE";1344.88;0;0;898.1;898.13
2022;12;2472;"CLORETO MAGNESIO FARMAX 33G";189.81;48.59;0;71.63;71.63
2022;12;22876;"FILE PEITO SADIA BIO IQF 1KG";57520.92;0;0;56580.31;56580.31
2022;12;8437;"LIMP ALUMINIO ALUMIL 500ML UVA";606.19;56.07;0;376.61;376.58
2022;12;10068;"QUEIJO FRESCAL SENSACAO PECA G KG";31079.66;0;0;23465.59;23465.59
2022;12;10577;"GOIABADA PREDILECTA 1.01KG";2377.16;219.89;0;1345.86;1345.86
2022;12;26645;"SAL MAR INT SMART 1KG FINO";916.47;143.09;0;512.3;512.3
2022;12;3033;"AGUA OXIGENADA CREM FARMAX 70ML 30V";690.71;0;0;398.56;398.56
2022;12;5231;"ATUM RAL R CRUSOE 120G NAT";3197.82;295.8;0;2314.07;2314.08
2022;12;3731;"CR TRAT KANECHOM 1KG MIX FRUIT";342.21;0;0;217.6;217.6
2022;12;20198;"BISC LGT PIRAQUE MALTADO 160G LTE";2265.89;209.59;0;1445.99;1446.01
2022;12;731;"ABS ABAS SV SYM NOITE DIA L16P14UN";10650.64;985.18;0;6775.96;6775.96
2022;12;10119;"MASSA PASTEL DONA BIA 500G PQ";3308.39;0;0;2180.67;2180.67
2022;12;28081;"LEITE LV DESN UAI 1L TPA";6543.34;0;0;5825.65;5826.18
2022;12;18462;"PAO BISNAG PULLMAN 280G";4421.88;409.02;0;2890.97;2890.97
2022;12;985;"PASTEL BIG CNE FEIRA KG";3748.37;632.26;0;2310.27;2310.28
2022;12;29504;"TRAVESSA VD LYOR 15,5X10X3CM WAVES";787;72.8;0;425.02;424.97
2022;12;29076;"ROSCA BIG ITALIANA 380G";44051.76;7424.42;0;8020.19;8036.96
2022;12;26655;"HIDRAT ORIGEM 380ML ERVA DOCE";362.67;0;0;260.31;260.32
2022;12;8995;"ARROZ REI ARTHUR 2KG";11784.08;826.45;0;8129.78;8129.78
2022;12;19709;"QUEIJO PARMESAO IDEAL KG";5313.27;0;0;3280.25;3280.25
2022;12;562;"BROA BIG FUBA 450G";9810.7;1659.12;0;4220.37;4220.81
2022;12;3154;"EBULIDOR COTHERM 127V 1000W 26CM";1276.8;118.1;0;752.54;752.54
2022;12;2588;"AZEITONA VDE GRANEL RECH KG";3426.24;316.93;0;1695.35;1697.17
2022;12;6142;"SUPORTE BOTIJAO ARTHI ESP";359.1;91.86;0;154.4;154.58
2022;12;9760;"AGRIAO HIDROPONICO S VDE UN";3999.67;0;0;1846.9;1846.9
2022;12;865;"ACUCAR REFINADO UNIAO 1KG";5150.71;0;0;4061.03;4061.11
2022;12;10857;"IOG Z LAC ITAMBE NOLAC 170G F VERM";1240.74;0;0;837.07;837.07
2022;12;24212;"LIMP PERF VEJA 2L PROMO FLORES MEDIT";884.41;81.81;0;549.68;549.68
2022;12;654;"PUDIM BIG LTE CONDENSADO MINI 130G";5778;976.85;0;1663.62;1664.81
2022;12;11450;"PEITO FGO INT KG";7925.34;0;0;5719.1;5719.1
2022;12;9283;"FARINHA MANDIOCA TOR ANCHIETA 1KG";7420.28;0;0;4524.6;4524.6
2022;12;29975;"ENXAG ZR LISTERINE L500P350ML";3366.56;0;0;2425.83;2425.83
