ANO;MES;PRODUTO;DESCCOMPLETA;VALOR_TOTAL_LIQUIDO;IMPOSTOS;VERBA_BONIFICACAO;CUSTO_LIQUIDO;CUSTO_FISCAL_TOTAL
2022;11;18590;"ARROZ DO PADRE 5KG TIPO 1";44097.23;3088.77;0;35119.44;35119.46
2022;11;6037;"CAFE FORT 500G";56327.27;3944.64;0;45389.84;46398.63
2022;11;5143;"PAPEL HIG MIMMO 30M L12P11 FD";57308.59;0;1397;45920.89;47316.82
2022;11;11427;"TOMATE KG";264920.55;0;0;146918.87;146918.31
2022;11;11178;"COSTELINHA SUINA SUINCO KG";40489.13;0;0;29833.36;29833.38
2022;11;5024;"CERV BRA SUBZERO 350ML LT";3167.44;0;0;2563.94;2563.98
2022;11;1938;"FILTRO PAPEL MELITTA 103 30UN";22536.77;2084.65;0;14443.81;14474.26
2022;11;10373;"BEB LAC GOODY 540G F VERM COCO";1801.54;0;0;1274.53;1274.53
2022;11;21666;"REFRESCO MID 20G GOIABA";1136.59;289.31;0;552.43;552.52
2022;11;18190;"FUBA SINHA 1KG";7858.76;545.91;0;4486.61;4486.61
2022;11;10447;"MORTAD PERDIGAO FRACIONADA KG";3498.31;323.59;0;2197.63;2197.63
2022;11;2476;"BISC C CRACKER BAUDUCCO 200G";4862.99;449.83;0;3575.99;4278.05
2022;11;26281;"FEIJAO CARIOCA DONA DE 1KG";66729.13;0;0;55010.53;55008.66
2022;11;10934;"MAC INST NISSIN CUP NOODLES 69G CNE";2348.91;0;0;1658.24;1677.9
2022;11;4919;"CR LEITE ITAMBE 200G";7371.31;681.85;0;4642.04;4670.19
2022;11;9880;"PRESUNTO COZIDO PERDIGAO KG";19566;1809.86;0;14914.06;14914.54
2022;11;9812;"ALFACE HIDROPONICA S VDE UN";35055.41;0;0;16187.4;16187.4
2022;11;799;"PAO BIG TATU 400G";7859.5;1231.59;0;2009.47;2009.49
2022;11;10783;"IOG POLPA NESTLE NINHO 540G";11770.27;0;0;8379;8379
2022;11;18244;"PULVERIZADOR NOBRE 500ML";455.62;116.63;0;125.23;126.85
2022;11;8825;"SEQUILHOS 7BOYS 400G";7853.54;726.45;0;4567.47;4880.65
2022;11;28660;"REFRESCO FRESH 15G MANGA";924.57;235.91;5.7;490.67;496.37
2022;11;9743;"MANGA TOMMY KG";24539.9;0;0;11695.97;11695.98
2022;11;10283;"BATATA PALITO MAIS BATATA 2KG";33101.92;3061.93;0;20661;20660.94
2022;11;27878;"PAPEL TOALHA MILI GRAN CHEF 200F";5726.63;529.71;0;3558.85;3558.77
2022;11;713;"ABS ABAS SC SYM L16P14UN";2271.08;210.07;0;1418.41;1418.41
2022;11;11572;"PERNIL SUINO KG";146519.98;0;0;116031.18;116032.26
2022;11;10208;"MEIO ASA SADIA IQF 1KG";46808.39;0;0;29689.99;29692.71
2022;11;10053;"MAC OVOS AMALIA 500G FIDELINHO";12363.01;0;0;9002.92;9002.89
2022;11;3956;"CALDO MAGGI 57G GALINHA";818.12;210.65;0;367.82;367.83
2022;11;3459;"AZEITE POR ANDORINHA 500ML";6749.05;0;0;4859.03;4859.03
2022;11;15159;"CR D COLGATE TR ACAO 180G PROMO ORIG";45755.82;0;3975.2;39474.86;44806.91
2022;11;565;"PATE BIG FGO KG";44094.32;11282.25;0;18507.42;18605.33
2022;11;19764;"FIGADO BOVINO EMB KG";33297.83;0;0;16271.89;16258.75
2022;11;5417;"BOLINHO BAUDUCCO 27G DUO CHOCO";1701.33;157.37;0;908.06;908.07
2022;11;9704;"REFRIG COCA COLA 220ML LT";4526.8;0;0;3245.21;3245.21
2022;11;10359;"BEB LAC GARDINGO 900G SC PESSEGO";1240.38;0;0;806.33;806.33
2022;11;645;"COXINHA FGO BIG CATUPIRY FRITA KG";31669.35;5343.57;0;13397.13;13408.78
2022;11;4429;"GUARDANAPO SNOB 24X22CM";7061.33;653.17;0;4389.3;4389.16
2022;11;7315;"CERV BRA KAISER 473ML LT";678.51;0;0;523.74;526.31
2022;11;25708;"MOLHO INGLES SABOR 150ML";1220.6;112.91;0;609.44;609.44
2022;11;10229;"MILHO PIPOCA PREMIUM ANCHIETA 500G";24605.66;6306.56;0;11723.9;11724
2022;11;29118;"CERV BRA ORIGINAL 473ML";51377.26;0;0;45244.96;48749.58
2022;11;10797;"CEBOLA ROXA KG";18413.13;0;0;10294.92;10294.9
2022;11;6085;"REFRIG COCA COLA 1.5L";26054.93;0;0;19606.1;19606.36
2022;11;29688;"BISC AMANT AYMORE 248G CHOCO";2890.97;267.41;0;2107.85;2107.85
2022;11;17213;"PIMENTA CALABRESA FLOCOS BIG 30G";1246.35;320.23;0;332.44;332.42
2022;11;10144;"BANHA PAMPLONA 1KG";6382.99;590.43;0;3860.4;3860.35
2022;11;24453;"BASE CULIN TRIANGULO 200G";15589.8;3990.23;0;7996.01;7996.06
2022;11;28327;"BISC RECH RICHESTER 125G ESCURETO";3203.94;296.36;0;1917.89;1941.44
2022;11;5109;"DESINF PINHO TROP 500ML FRESCOR";277.94;70.99;0;118.7;118.76
